BCV	text	func_morph	form_morph	strongs	lemma	normalized
John 1:1	Ἐν	PREP	PREP	1722	ἐν	Ἐν	
John 1:1	ἀρχῇ	N-DSF	N-DSF	746	ἀρχή	ἀρχῇ	
John 1:1	ἦν	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
John 1:1	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
John 1:1	Λόγος,	N-NSM	N-NSM	3056	λόγος	Λόγος	
John 1:1	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:1	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
John 1:1	Λόγος	N-NSM	N-NSM	3056	λόγος	Λόγος	
John 1:1	ἦν	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
John 1:1	πρὸς	PREP	PREP	4314	πρός	πρός	
John 1:1	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
John 1:1	Θεόν,	N-ASM	N-ASM	2316	θεός	Θεόν	
John 1:1	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:1	Θεὸς	N-NSM	N-NSM	2316	θεός	Θεός	
John 1:1	ἦν	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
John 1:1	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
John 1:1	Λόγος.	N-NSM	N-NSM	3056	λόγος	Λόγος	
John 1:2	Οὗτος	D-NSM	D-NSM	3778	οὗτος	Οὗτος	
John 1:2	ἦν	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
John 1:2	ἐν	PREP	PREP	1722	ἐν	ἐν	
John 1:2	ἀρχῇ	N-DSF	N-DSF	746	ἀρχή	ἀρχῇ	
John 1:2	πρὸς	PREP	PREP	4314	πρός	πρός	
John 1:2	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
John 1:2	Θεόν.	N-ASM	N-ASM	2316	θεός	Θεόν	
John 1:3	πάντα	A-NPN	A-NPN	3956	πᾶς	πάντα	
John 1:3	δι’	PREP	PREP	1223	διά	δι’	
John 1:3	αὐτοῦ	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
John 1:3	ἐγένετο,	V-2ADI-3S	V-2ADI-3S	1096&5633	γίνομαι	ἐγένετο	
John 1:3	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:3	χωρὶς	ADV	ADV	5565	χωρίς	χωρίς	
John 1:3	αὐτοῦ	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
John 1:3	ἐγένετο	V-2ADI-3S	V-2ADI-3S	1096&5633	γίνομαι	ἐγένετο	
John 1:3	οὐδὲ	CONJ-N	CONJ-N	3761	οὐδέ	οὐδέ	
John 1:3	ἕν	A-NSN	A-NSN	1520	εἷς	ἕν	
John 1:3	ὃ	R-NSN	R-NSN	3739	ὅς	ὅ	
John 1:3	γέγονεν.	V-2RAI-3S	V-2RAI-3S	1096&5754	γίνομαι	γέγονεν	
John 1:4	ἐν	PREP	PREP	1722	ἐν	ἐν	
John 1:4	αὐτῷ	P-DSM	P-DSM	846	αὐτός	αὐτῷ	
John 1:4	ζωὴ	N-NSF	N-NSF	2222	ζωή	ζωή	
John 1:4	ἦν,	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
John 1:4	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:4	ἡ	T-NSF	T-NSF	3588	ὁ	ἡ	
John 1:4	ζωὴ	N-NSF	N-NSF	2222	ζωή	ζωή	
John 1:4	ἦν	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
John 1:4	τὸ	T-NSN	T-NSN	3588	ὁ	τό	
John 1:4	φῶς	N-NSN	N-NSN	5457	φῶς	φῶς	
John 1:4	τῶν	T-GPM	T-GPM	3588	ὁ	τῶν	
John 1:4	ἀνθρώπων.	N-GPM	N-GPM	444	ἄνθρωπος	ἀνθρώπων	
John 1:5	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:5	τὸ	T-NSN	T-NSN	3588	ὁ	τό	
John 1:5	φῶς	N-NSN	N-NSN	5457	φῶς	φῶς	
John 1:5	ἐν	PREP	PREP	1722	ἐν	ἐν	
John 1:5	τῇ	T-DSF	T-DSF	3588	ὁ	τῇ	
John 1:5	σκοτίᾳ	N-DSF	N-DSF	4653	σκοτία	σκοτίᾳ	
John 1:5	φαίνει,	V-PAI-3S	V-PAI-3S	5316&5719	φαίνω	φαίνει	
John 1:5	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:5	ἡ	T-NSF	T-NSF	3588	ὁ	ἡ	
John 1:5	σκοτία	N-NSF	N-NSF	4653	σκοτία	σκοτία	
John 1:5	αὐτὸ	P-ASN	P-ASN	846	αὐτός	αὐτό	
John 1:5	οὐ	PRT-N	PRT-N	3756	οὐ	οὐ	
John 1:5	κατέλαβεν.	V-2AAI-3S	V-2AAI-3S	2638&5627	καταλαμβάνω	κατέλαβεν	
John 1:6	Ἐγένετο	V-2ADI-3S	V-2ADI-3S	1096&5633	γίνομαι	Ἐγένετο	
John 1:6	ἄνθρωπος,	N-NSM	N-NSM	444	ἄνθρωπος	ἄνθρωπος	
John 1:6	ἀπεσταλμένος	V-RPP-NSM	V-RPP-NSM	649&5772	ἀποστέλλω	ἀπεσταλμένος	
John 1:6	παρὰ	PREP	PREP	3844	παρά	παρά	
John 1:6	Θεοῦ,	N-GSM	N-GSM	2316	θεός	Θεοῦ	
